日期,广告形式,产品,展现量,点击量,点击率,总加购数,转化率,ROI,总订单行,总订单金额,总费用,是否为钻展广告,是否为超级推荐广告,是否为直通车广告,是否为品销宝广告,点击率/转化率,销售额/ROI,点击量/展现量,加购数/点击量,订单数/加购数
2020-12-26,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-27,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-28,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-29,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-30,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-31,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-01,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-02,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-03,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-04,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-05,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-06,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-07,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-08,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
